City,Average_price,State,SunHours,jantemp,febtemp,martemp,aprtemp,maytemp,juntemp,jultemp,augtemp,septemp,octtemp,novtemp,dectemp,MaxTempSum
Palo+Alto,1502.133603,CA,1315.65,20.4,21.8,23.3,22.6,24.9,28.8,31.7,30,29.2,26.4,21.4,17.9,298.4
Pinole,346.3864961,CA,1189.1,19.7,20.6,21.6,23.4,26.3,27.5,29.8,28.3,29.4,25.9,20.9,16.9,290.3
Pittsburg,266.0971885,CA,1352.5,19.5,21.3,24.1,25.4,29.6,32.8,35.4,33.5,32.8,28.7,21.6,16.3,321
Pleasant+Hill,440.2473169,CA,1212.8,19.6,21.1,23.5,25,28.8,31.3,32.8,31.7,31.8,28.1,21.6,16.7,312
Pleasanton,558.1022272,CA,1278.3,19.7,21.5,23.8,23.9,27.5,31.6,34.5,32.1,31.6,28,20.9,16.5,311.6
Redwood+City,925.3250824,CA,1261.25,19.2,20.6,22.1,21.2,23,26.6,27.7,27.2,27,25.2,20.6,17,277.4
Richmond,377.24747,CA,1168.5,9.2,12.3,13.7,17.5,22.8,26.5,28.3,27.7,24.7,17.8,11.6,7.3,219.4
Rohnert+Park,352.3057155,CA,1208.8,20.4,21.3,23.2,23.3,26.9,30,32.9,30.7,29.5,26.8,21.3,18.2,304.5
San+Bruno,737.5417187,CA,1129.9,19.6,20,20.5,20.4,22.7,24.1,26.1,26.5,27.3,24.7,21.4,18.2,271.5
San+Carlos,1046.027046,CA,1252.9,19.2,20.6,22.1,21.2,23,26.6,27.7,27.2,27,25.2,20.6,17,277.4
San+Francisco,993.8790177,CA,1228.15,20.2,20.2,21,22.2,24.8,25.9,28,27.7,28.5,25.7,21.3,18.2,283.7
San+Jose,656.6548316,CA,1362.15,20.9,22,23.9,23.1,26.3,30.8,35.4,32.5,30,27.3,21.8,17.8,311.8
San+Leandro,464.8410375,CA,1187.2,20.1,20.7,21.8,22.8,25.8,27.1,30.4,29,30,26.3,21.4,17.6,293
San+Mateo,922.5806282,CA,1165.8,19.8,20.5,21.2,20.4,22.9,25.5,27.8,26.8,26.9,25.4,21.4,17.8,276.4
San+Pablo,325.8712507,CA,1168.5,20.3,20.6,21.3,23.1,25.8,26.6,29.5,28.2,29.1,25.8,21.4,17.7,289.4
San+Rafael,540.2269807,CA,1130.6,19.6,20.3,21.2,22.1,25.1,26.5,28.6,27.5,27.4,25.8,20.8,17.4,282.3
San+Ramon,482.2197065,CA,1207.6,19.1,21,23,23.8,27.6,30.2,32.6,31,31.1,27.3,20.7,16.1,303.5
Santa+Clara,878.6565262,CA,1356.8,20.7,21.9,24.1,23.3,26,30.5,34.7,32.5,29.4,27,21.6,17.8,309.5
Santa+Rosa,388.6528566,CA,1220.1,20.5,20.9,22.8,23,26.5,29.5,32.8,30,29.3,26.6,21.3,18.8,302
Saratoga,1060.198951,CA,1253.3,20.7,21.6,24.2,23.2,24.8,30.7,33.8,32.1,30.2,27,21.5,18,307.8
Sonoma,525.3749646,CA,1223.5,19.9,21.5,23.6,24.2,28,31.2,34.8,32.7,30.4,27.5,21,17.2,312
South+San+Francisco,715.9307466,CA,1129.9,19.7,19.9,20.4,20.5,22.6,24,26.1,26.6,27.3,25,21.3,18.2,271.6
Suisun+City,239.2162784,CA,1258,19.3,21.6,24.4,25.2,29.7,32.9,36.6,33.8,32.6,28.4,21.1,16.2,321.8
Sunnyvale,1098.385643,CA,1255.8,21,21.9,23.7,23.1,25.1,30,33.9,32.1,29.7,27,21.9,18.3,307.7
Union+City,530.5934273,CA,1228.5,20.8,21.8,23.3,23.2,25.9,29,32.9,29.6,30.6,26.7,21.9,18.1,303.8
Vacaville,253.403344,CA,1286.4,19.8,21.7,24.8,26,30.7,34.9,38.3,36.1,34.2,29.6,21.6,16.5,334.2
Vallejo,263.7841607,CA,1206.1,19.9,20.5,22.4,24.5,27.7,29.4,31.8,30.3,30.4,26.7,21.5,17.1,302.2
Walnut+Creek,473.8003974,CA,1214.1,20.2,21.2,23.3,24.7,28.3,31.2,32.6,31.4,31.8,27.9,21.8,17.2,311.6
